epoch,train_loss,val_loss,velo_val_loss
0,0.8490522151643579,0.7196928262710571,0.007372146472334862
1,0.8044349673119459,0.7207288146018982,0.0073521798476576805
2,0.8147036785429175,0.6941896080970764,0.007021019235253334
3,0.7920812930573117,0.7101690173149109,0.0072218626737594604
4,0.785364399918101,0.6953456997871399,0.007189327850937843
5,0.7761739705773917,0.6847448945045471,0.007134581916034222
6,0.7722153308039362,0.6799023747444153,0.007137793581932783
7,0.7616982368583028,0.6696509122848511,0.0074510653503239155
8,0.7555945132943717,0.6647464632987976,0.007276177406311035
9,0.7463722120631825,0.648818850517273,0.0069561428390443325
10,0.7324930737641725,0.6561222076416016,0.007273010443896055
11,0.7185953015630896,0.6471185088157654,0.006966118700802326
12,0.7283972457728602,0.6519902348518372,0.007262117229402065
13,0.7008037899028171,0.6308642625808716,0.0073708342388272285
14,0.6992472130805254,0.6209944486618042,0.007505382411181927
15,0.6781074963510036,0.6012266278266907,0.007319496478885412
16,0.6762626795944843,0.604535698890686,0.0073720719665288925
17,0.6687438926574859,0.6028730273246765,0.007840611971914768
18,0.6843572070991452,0.5879836082458496,0.007832139730453491
19,0.6690302269363945,0.5710472464561462,0.007999527268111706
20,0.6740633499893275,0.5749669075012207,0.007613133639097214
21,0.6447469336404041,0.5814991593360901,0.008149074390530586
22,0.6444488167762756,0.5893949270248413,0.0079234279692173
23,0.6341269571672786,0.5626394152641296,0.008054791018366814
24,0.6218500440432266,0.6008117198944092,0.008668562397360802
25,0.6406079036268321,0.5448358654975891,0.00836894754320383
26,0.6244100918146697,0.5691031217575073,0.008812625892460346
27,0.6409879530018027,0.5214667916297913,0.008151843212544918
28,0.6087939872999083,0.5151362419128418,0.008567779324948788
29,0.57191847671162,0.4895007610321045,0.008246885612607002
30,0.5706186303022233,0.49851474165916443,0.008191836066544056
31,0.5535413863306696,0.4980202317237854,0.00833919458091259
32,0.5304158191111955,0.49970927834510803,0.008777686394751072
33,0.5273472212932326,0.513476550579071,0.009531672112643719
34,0.5409417081285607,0.4772006571292877,0.008818889036774635
35,0.5231689218093049,0.46462079882621765,0.009210227057337761
36,0.5199888941239227,0.4936550557613373,0.009448589757084846
37,0.5186997140673074,0.4857625961303711,0.009842180646955967
38,0.5139559012922373,0.4467727839946747,0.009263835847377777
39,0.5125509248199788,0.4636441171169281,0.00920039415359497
40,0.510218355212022,0.4436468482017517,0.009798428975045681
41,0.5080776836045764,0.41366156935691833,0.009827371686697006
42,0.5007688162679022,0.4621180593967438,0.01003661472350359
43,0.49125689251179044,0.43912309408187866,0.009932729415595531
44,0.46996276233006606,0.43815016746520996,0.010385682806372643
45,0.49128751016475936,0.4305076599121094,0.009847541339695454
46,0.44914270768111403,0.43713289499282837,0.009712738916277885
47,0.4809917729686607,0.42065757513046265,0.009980304166674614
48,0.46145530840889976,0.4023014307022095,0.00957325380295515
49,0.46765319765968755,0.4347744882106781,0.010317125357687473
