epoch,train_loss,val_loss,velo_val_loss
0,0.9846079898151484,0.8419463634490967,0.003405400086194277
1,0.8601222011176023,0.8144518136978149,0.0033627620432525873
2,0.832505984401161,0.8166499733924866,0.0034473766572773457
3,0.814259258183566,0.7969316840171814,0.0033263855148106813
4,0.8129388994791291,0.8372171521186829,0.0034245355054736137
5,0.7959929105233062,0.7798928022384644,0.003237163182348013
6,0.7967514040117915,0.7838650345802307,0.0032938425429165363
7,0.7878199416128072,0.8685824871063232,0.003611244959756732
8,0.7805596759373491,0.7565505504608154,0.0033533978275954723
9,0.755494280972264,0.7092069387435913,0.0029996319208294153
10,0.7317736043848775,0.7287157773971558,0.0030528150964528322
11,0.7116050581363115,0.7731157541275024,0.0032202275469899178
12,0.6949023702605204,0.669535219669342,0.0028620644006878138
13,0.6980278908529065,0.8607999086380005,0.0034510516561567783
14,0.6922508610243147,0.6797655820846558,0.0028934187721461058
15,0.6795824600214307,0.6577459573745728,0.0028088705148547888
16,0.6675160901451652,0.6724057793617249,0.002866589929908514
17,0.6540881395339966,0.6101855039596558,0.002633127849549055
18,0.6516489152881232,0.5982800126075745,0.00256425142288208
19,0.6419043774631891,0.7223506569862366,0.0029367420356720686
20,0.6168345287442207,0.5856546759605408,0.0025255850050598383
21,0.6022327488118951,0.6039111614227295,0.002618152182549238
22,0.6173839035697959,0.5579578280448914,0.002422600518912077
23,0.6054339872842486,0.5323812365531921,0.0023910831660032272
24,0.5882672560824589,0.550714373588562,0.0024568666703999043
25,0.5572616600177505,0.5173031091690063,0.0023246388882398605
26,0.562555493278937,0.5091734528541565,0.0022769407369196415
27,0.5441999665715478,0.5661874413490295,0.0024258671328425407
28,0.5588908297094431,0.5671886205673218,0.002440624637529254
29,0.5250151353803548,0.4911234974861145,0.002168897306546569
30,0.5421671884303744,0.5195866823196411,0.0023334454745054245
31,0.5011623413725332,0.4358885586261749,0.0020937700755894184
32,0.5045912326736883,0.46189063787460327,0.00219067488797009
33,0.47326087342067197,0.6116310358047485,0.0026122217532247305
34,0.4624068731950088,0.3920137584209442,0.00205882266163826
35,0.43707952004942024,0.4106765389442444,0.0020974951330572367
36,0.4513450889763507,0.39596661925315857,0.002238041954115033
37,0.4380650406872684,0.3850661516189575,0.002046561799943447
38,0.41673168997195636,0.39904260635375977,0.0021026968024671078
39,0.42647105184468354,0.40448978543281555,0.0020017148926854134
40,0.4432371377267621,0.3265156149864197,0.0019142214441671968
41,0.4128561091016639,0.37438496947288513,0.0020948192104697227
42,0.4163053081455556,0.3617208003997803,0.002055003307759762
43,0.4087856671010906,0.36799147725105286,0.002041331259533763
44,0.41831463829360227,0.37521395087242126,0.00216602417640388
45,0.39232099428772926,0.3403659462928772,0.0021809155587106943
46,0.39505835402418266,0.3816191852092743,0.002216750755906105
47,0.38094254837117414,0.3502088487148285,0.002158439252525568
48,0.384192199700258,0.34106090664863586,0.0022408871445804834
49,0.40670419721440837,0.44195979833602905,0.002288224408403039
